PROPERTY_ID,REPAIRTYPE,DESCRIPTION,DATEOFSUBMISSION,WORKTOBEDONE,COST,OWNER_ACCEPTANCE,STATUS
1,PAINTING,Paint walls,2022-11-12T12:11:00Z,Repair,650,false,PENDING
2,INSULATION,Insulation,2022-11-14T14:11:00Z,Repair,420,false,IN_PROGRESS
5,PAINTING,Paint walls,2022-11-21T12:14:00Z,Repair,1000,false,DECLINED
3,PLUMBING,WC,2022-11-11T11:45:00Z,Repair,854,true,PENDING
4,PAINTING,Insulation,2022-11-25T11:30:00Z,Repair,125,true,ACCEPTED
6,FRAMES,Insulation,2022-12-10T11:11:00Z,Repair,432,false,ACCEPTED
7,INSULATION,Insulation,2022-12-06T09:11:00Z,Repair,152,false,PENDING
1,FRAMES,Insulation,2022-11-09T09:15:00Z,Repair,110,true,PENDING
1,PAINTING,Paint walls,2022-12-24T09:55:00Z,Repair,785,false,IN_PROGRESS
3,ELECTRICAL_WORK,Plugs and electronics,2022-12-12T09:35:00Z,Repair,990,true,PENDING
4,FRAMES,To windows,2022-12-12T12:15:00Z,Repair,366,true,COMPLETE
